policy_id,exposure_years,activity,region_risk,building_material,surface_m2,insured_capital_eur,building_age_years,previous_claims,fire_protection,fire_station_distance_km,claim_count,average_claim_cost_eur,total_claim_cost_eur
SYN-000138,0.879,livestock,low,masonry,1158.0,596280.0,59,2,0,6.9,0,0.0,0.0
SYN-000139,0.554,mixed_farming,medium,masonry,607.0,188156.0,30,0,1,3.2,0,0.0,0.0
SYN-000140,0.927,crop_farming,low,wood,2729.0,958470.0,1,0,1,3.0,0,0.0,0.0
SYN-000141,0.851,livestock,low,mixed,1214.0,651931.0,20,0,0,7.1,0,0.0,0.0
SYN-000142,0.989,livestock,low,masonry,1288.0,694712.0,14,0,0,14.2,0,0.0,0.0
SYN-000143,0.899,viticulture,low,masonry,661.0,272227.0,63,0,1,4.1,0,0.0,0.0
SYN-000144,0.545,livestock,low,wood,1374.0,641497.0,62,0,1,9.8,0,0.0,0.0
SYN-000145,0.646,livestock,medium,mixed,1062.0,405605.0,4,1,1,13.1,0,0.0,0.0
SYN-000146,0.818,crop_farming,medium,masonry,511.0,225945.0,29,0,1,11.4,0,0.0,0.0
SYN-000147,0.59,livestock,low,masonry,2896.0,1342927.0,12,0,1,4.8,0,0.0,0.0
SYN-000148,0.728,livestock,low,masonry,3803.0,1125353.0,69,0,0,11.4,0,0.0,0.0
SYN-000149,0.543,livestock,high,masonry,2349.0,816682.0,58,0,1,12.6,0,0.0,0.0
SYN-000150,0.798,crop_farming,low,masonry,2132.0,1040675.0,11,0,0,2.3,0,0.0,0.0
SYN-000151,0.605,mixed_farming,medium,masonry,3817.0,1234742.0,56,0,1,4.5,0,0.0,0.0
SYN-000152,0.433,mixed_farming,medium,masonry,613.0,357610.0,66,0,0,6.4,0,0.0,0.0
SYN-000153,0.981,crop_farming,medium,masonry,609.0,575949.0,6,0,1,4.8,0,0.0,0.0
SYN-000154,0.906,livestock,high,masonry,926.0,491024.0,50,0,1,2.7,0,0.0,0.0
SYN-000155,0.582,crop_farming,medium,masonry,1471.0,717852.0,43,0,1,3.3,0,0.0,0.0
SYN-000156,0.478,mixed_farming,high,mixed,1002.0,596792.0,14,0,0,6.0,0,0.0,0.0
SYN-000157,0.841,crop_farming,high,masonry,625.0,325142.0,74,0,0,6.4,0,0.0,0.0
SYN-000158,0.532,mixed_farming,low,wood,1216.0,713987.0,1,0,1,10.6,0,0.0,0.0
SYN-000159,0.763,mixed_farming,low,wood,1140.0,374141.0,40,0,1,6.5,0,0.0,0.0
SYN-000160,0.867,mixed_farming,low,wood,2094.0,1007122.0,71,1,1,2.7,0,0.0,0.0
SYN-000161,0.563,crop_farming,medium,masonry,1248.0,439050.0,25,1,1,12.2,0,0.0,0.0
SYN-000162,0.571,viticulture,medium,masonry,351.0,161675.0,24,0,1,6.2,0,0.0,0.0
SYN-000163,0.437,crop_farming,low,mixed,1557.0,694580.0,59,0,1,8.8,0,0.0,0.0
SYN-000164,0.592,crop_farming,low,masonry,3389.0,1024791.0,20,0,1,6.2,0,0.0,0.0
SYN-000165,0.758,livestock,medium,masonry,1235.0,378824.0,41,0,1,4.4,0,0.0,0.0
SYN-000166,0.493,livestock,medium,masonry,2302.0,998699.0,15,0,1,6.0,0,0.0,0.0
SYN-000167,0.972,mixed_farming,medium,mixed,873.0,246142.0,6,0,0,11.4,0,0.0,0.0
SYN-000168,0.833,mixed_farming,high,mixed,1751.0,892804.0,29,0,0,14.7,0,0.0,0.0
SYN-000169,0.522,livestock,low,masonry,747.0,431440.0,12,0,0,6.0,0,0.0,0.0
SYN-000170,0.718,viticulture,medium,wood,1033.0,517336.0,42,0,0,8.9,0,0.0,0.0
SYN-000171,0.635,crop_farming,high,mixed,1038.0,360774.0,40,0,1,2.0,0,0.0,0.0
SYN-000172,0.629,livestock,medium,masonry,1652.0,764584.0,39,0,0,1.8,0,0.0,0.0
SYN-000173,0.736,crop_farming,medium,masonry,709.0,186362.0,78,1,1,10.1,0,0.0,0.0
SYN-000174,0.465,viticulture,medium,masonry,468.0,206211.0,69,0,1,11.1,0,0.0,0.0
SYN-000175,0.529,crop_farming,low,wood,1645.0,717227.0,35,0,0,3.9,0,0.0,0.0
SYN-000176,0.49,crop_farming,high,mixed,1605.0,597232.0,16,0,1,4.4,0,0.0,0.0
SYN-000177,0.504,livestock,medium,mixed,1304.0,475494.0,17,0,1,16.4,0,0.0,0.0
SYN-000178,0.793,viticulture,medium,mixed,2222.0,1237852.0,60,0,1,8.5,0,0.0,0.0
SYN-000179,0.998,mixed_farming,medium,masonry,1062.0,325936.0,68,0,0,5.4,0,0.0,0.0
SYN-000180,0.791,mixed_farming,medium,wood,1455.0,548161.0,73,0,1,13.6,0,0.0,0.0
SYN-000181,0.991,mixed_farming,low,wood,965.0,327964.0,75,0,1,3.3,0,0.0,0.0
SYN-000182,0.746,mixed_farming,medium,mixed,1024.0,463800.0,3,0,0,17.6,0,0.0,0.0
SYN-000183,0.57,livestock,medium,masonry,1512.0,776861.0,67,0,0,7.3,0,0.0,0.0
SYN-000184,0.923,livestock,low,masonry,5289.0,1431495.0,61,0,1,4.0,0,0.0,0.0
SYN-000185,0.44,mixed_farming,medium,masonry,1964.0,556506.0,14,1,1,18.5,0,0.0,0.0
SYN-000186,0.461,mixed_farming,high,masonry,1731.0,532733.0,22,0,0,2.3,0,0.0,0.0
SYN-000187,0.969,livestock,medium,mixed,2004.0,831870.0,78,0,0,5.0,0,0.0,0.0
SYN-000188,0.79,crop_farming,medium,mixed,263.0,134561.0,36,0,1,15.1,0,0.0,0.0
SYN-000189,0.957,mixed_farming,medium,wood,1491.0,733657.0,56,1,0,5.5,0,0.0,0.0
SYN-000190,0.48,crop_farming,high,masonry,2190.0,1104848.0,5,2,0,3.8,0,0.0,0.0
SYN-000191,0.861,viticulture,medium,masonry,1280.0,326575.0,52,0,1,11.6,0,0.0,0.0
SYN-000192,0.541,crop_farming,high,masonry,1178.0,718316.0,24,0,1,9.7,0,0.0,0.0
SYN-000193,0.606,crop_farming,low,wood,658.0,368061.0,63,0,0,11.9,1,21762.08,21762.08
SYN-000194,0.939,mixed_farming,high,mixed,914.0,456416.0,9,0,1,10.5,0,0.0,0.0
SYN-000195,0.647,crop_farming,high,masonry,705.0,293703.0,80,0,0,13.4,0,0.0,0.0
SYN-000196,0.802,crop_farming,medium,mixed,2321.0,1061395.0,19,0,1,9.3,0,0.0,0.0
SYN-000197,0.932,mixed_farming,medium,mixed,3217.0,1322619.0,33,1,1,8.1,1,39524.01,39524.01
SYN-000198,0.923,mixed_farming,low,masonry,4263.0,1398460.0,3,1,0,15.4,0,0.0,0.0
SYN-000199,0.405,crop_farming,medium,masonry,698.0,170312.0,8,0,1,23.8,0,0.0,0.0
SYN-000200,0.495,livestock,low,masonry,785.0,385428.0,76,1,1,8.8,0,0.0,0.0
SYN-000201,0.951,mixed_farming,low,masonry,744.0,342629.0,57,0,1,3.9,0,0.0,0.0
SYN-000202,0.737,viticulture,high,mixed,625.0,181654.0,72,0,0,6.1,0,0.0,0.0
SYN-000203,0.688,livestock,low,masonry,632.0,349176.0,68,0,1,2.8,0,0.0,0.0
SYN-000204,0.439,crop_farming,medium,mixed,867.0,319392.0,53,1,1,17.0,0,0.0,0.0
SYN-000205,0.415,crop_farming,low,mixed,2140.0,787882.0,52,0,1,5.4,0,0.0,0.0
SYN-000206,0.972,crop_farming,medium,masonry,760.0,271615.0,27,0,1,5.3,0,0.0,0.0
SYN-000207,0.684,crop_farming,medium,wood,2403.0,1285232.0,57,0,1,8.3,0,0.0,0.0
SYN-000208,0.872,mixed_farming,low,masonry,2948.0,724279.0,76,0,0,4.0,0,0.0,0.0
SYN-000209,0.532,crop_farming,medium,mixed,1459.0,642221.0,19,2,0,4.2,0,0.0,0.0
SYN-000210,0.542,livestock,high,masonry,2694.0,1116775.0,78,1,0,2.7,0,0.0,0.0
SYN-000211,0.736,mixed_farming,medium,mixed,500.0,162251.0,42,0,1,3.1,0,0.0,0.0
SYN-000212,0.926,mixed_farming,high,masonry,843.0,380298.0,64,0,1,9.9,0,0.0,0.0
SYN-000213,0.573,crop_farming,medium,masonry,1371.0,500750.0,29,0,0,8.9,0,0.0,0.0
SYN-000214,0.597,mixed_farming,medium,masonry,1401.0,536673.0,55,2,1,5.2,0,0.0,0.0
SYN-000215,0.73,mixed_farming,low,mixed,3069.0,799132.0,45,0,1,26.3,0,0.0,0.0
SYN-000216,0.424,mixed_farming,low,mixed,633.0,374020.0,27,0,1,7.8,0,0.0,0.0
SYN-000217,0.627,crop_farming,high,mixed,855.0,445714.0,3,0,0,16.6,0,0.0,0.0
SYN-000218,0.734,crop_farming,medium,masonry,1147.0,627397.0,71,0,0,6.2,0,0.0,0.0
SYN-000219,0.403,viticulture,medium,mixed,865.0,429739.0,56,0,0,2.0,0,0.0,0.0
SYN-000220,0.783,livestock,high,mixed,615.0,226644.0,40,0,0,20.3,0,0.0,0.0
SYN-000221,0.431,livestock,low,masonry,889.0,361155.0,44,1,1,24.2,0,0.0,0.0
SYN-000222,0.832,livestock,medium,masonry,1033.0,379430.0,51,0,0,18.5,0,0.0,0.0
SYN-000223,0.881,mixed_farming,low,masonry,3105.0,1199716.0,3,0,1,8.7,0,0.0,0.0
SYN-000224,0.903,viticulture,high,mixed,624.0,238032.0,14,0,1,9.8,0,0.0,0.0
SYN-000225,0.804,crop_farming,low,masonry,2059.0,1028861.0,80,1,1,6.4,0,0.0,0.0
SYN-000226,0.737,viticulture,low,masonry,2771.0,1029857.0,2,1,1,14.8,0,0.0,0.0
SYN-000227,0.585,crop_farming,medium,wood,869.0,501844.0,9,0,0,8.5,0,0.0,0.0
SYN-000228,0.655,livestock,low,wood,1435.0,631688.0,80,1,1,12.1,0,0.0,0.0
SYN-000229,0.452,mixed_farming,high,masonry,1762.0,692583.0,63,0,1,2.9,0,0.0,0.0
SYN-000230,0.824,crop_farming,medium,wood,1583.0,485531.0,50,0,1,5.3,0,0.0,0.0
SYN-000231,0.415,crop_farming,low,masonry,1278.0,359922.0,74,1,1,12.5,0,0.0,0.0
SYN-000232,0.648,livestock,low,wood,780.0,398223.0,55,0,0,3.8,0,0.0,0.0
SYN-000233,0.704,viticulture,high,masonry,1864.0,1150999.0,8,0,1,5.7,0,0.0,0.0
SYN-000234,0.79,mixed_farming,medium,masonry,950.0,325417.0,5,0,1,7.3,0,0.0,0.0
SYN-000235,0.606,viticulture,high,wood,1235.0,507079.0,71,0,1,9.4,0,0.0,0.0
SYN-000236,0.666,mixed_farming,low,masonry,1359.0,417565.0,34,0,0,4.3,0,0.0,0.0
SYN-000237,0.752,livestock,high,mixed,2114.0,783922.0,29,0,0,12.6,0,0.0,0.0
SYN-000238,0.954,mixed_farming,medium,masonry,4244.0,2079990.0,23,0,1,8.2,0,0.0,0.0
SYN-000239,0.803,crop_farming,medium,masonry,750.0,265110.0,64,0,1,0.5,0,0.0,0.0
SYN-000240,0.553,crop_farming,medium,wood,1254.0,424579.0,67,0,1,2.5,0,0.0,0.0
SYN-000241,0.908,mixed_farming,low,masonry,462.0,217278.0,50,0,0,2.5,0,0.0,0.0
SYN-000242,0.433,mixed_farming,high,wood,3175.0,1010102.0,39,0,1,3.2,0,0.0,0.0
SYN-000243,0.563,crop_farming,high,wood,1247.0,345150.0,48,0,0,11.9,0,0.0,0.0
SYN-000244,0.465,livestock,medium,masonry,997.0,354900.0,31,0,0,2.0,0,0.0,0.0
SYN-000245,0.668,mixed_farming,high,masonry,1254.0,559285.0,30,0,0,2.4,0,0.0,0.0
SYN-000246,0.782,mixed_farming,low,masonry,1296.0,788504.0,12,0,1,27.0,0,0.0,0.0
SYN-000247,0.719,mixed_farming,low,masonry,753.0,405044.0,38,0,1,3.2,0,0.0,0.0
SYN-000248,0.887,livestock,low,masonry,2623.0,1089178.0,31,0,1,5.4,0,0.0,0.0
SYN-000249,0.74,livestock,medium,masonry,1843.0,884042.0,23,0,1,8.4,1,19617.73,19617.73
SYN-000250,0.54,livestock,low,mixed,2018.0,806541.0,29,1,1,4.0,0,0.0,0.0
SYN-000251,0.722,mixed_farming,medium,masonry,779.0,330287.0,57,1,1,5.4,0,0.0,0.0
SYN-000252,0.841,mixed_farming,low,mixed,752.0,271099.0,63,0,1,3.6,0,0.0,0.0
SYN-000253,0.702,livestock,medium,masonry,1126.0,540389.0,65,0,0,4.8,0,0.0,0.0
SYN-000254,0.665,crop_farming,high,masonry,2039.0,748834.0,68,0,1,4.0,0,0.0,0.0
SYN-000255,0.717,crop_farming,medium,masonry,1679.0,921993.0,79,0,1,7.8,0,0.0,0.0
SYN-000256,0.729,mixed_farming,low,masonry,731.0,404554.0,31,0,1,5.0,0,0.0,0.0
SYN-000257,0.586,mixed_farming,medium,mixed,1871.0,1085642.0,72,0,1,1.2,0,0.0,0.0
SYN-000258,0.913,crop_farming,low,masonry,644.0,224899.0,33,1,1,24.2,0,0.0,0.0
SYN-000259,0.525,crop_farming,medium,mixed,788.0,236016.0,67,1,0,1.6,0,0.0,0.0
SYN-000260,0.42,mixed_farming,medium,mixed,1343.0,819825.0,79,0,1,10.2,0,0.0,0.0
SYN-000261,0.845,crop_farming,medium,masonry,566.0,262345.0,63,0,1,3.9,0,0.0,0.0
